service_id,date,exception_type
3254366340,20251226,1
3254366340,20251227,1
3254366340,20251228,1
19992519141,20250915,1
19992519141,20250916,1
19992519141,20250917,1
19992519141,20250918,1
19992519141,20250919,1
19992519141,20250923,1
19992519141,20250924,1
19992519141,20250925,1
19992519141,20250926,1
19992519141,20250929,1
19992519141,20250930,1
19992519141,20251001,1
19992519141,20251002,1
19992519141,20251003,1
19992519141,20251006,1
19992519141,20251007,1
19992519141,20251008,1
19992519141,20251009,1
19992519141,20251010,1
19992519141,20251013,1
19992519141,20251014,1
19992519141,20251015,1
19992519141,20251016,1
19992519141,20251017,1
19992519141,20251020,1
19992519141,20251021,1
19992519141,20251022,1
19992519141,20251023,1
19992519141,20251024,1
19992519141,20251027,1
19992519141,20251028,1
19992519141,20251029,1
19992519141,20251030,1
19992519141,20251031,1
19992519141,20251103,1
19992519141,20251104,1
19992519141,20251105,1
19992519141,20251106,1
19992519141,20251107,1
19992519141,20251110,1
19992519141,20251111,1
19992519141,20251112,1
19992519141,20251113,1
19992519141,20251114,1
19992519141,20251117,1
19992519141,20251118,1
19992519141,20251119,1
19992519141,20251120,1
19992519141,20251121,1
19992519141,20251124,1
19992519141,20251125,1
19992519141,20251126,1
19992519141,20251127,1
19992519141,20251128,1
19992519141,20251201,1
19992519141,20251202,1
19992519141,20251203,1
19992519141,20251204,1
19992519141,20251205,1
19992519141,20251208,1
19992519141,20251209,1
19992519141,20251210,1
19992519141,20251211,1
19992519141,20251212,1
19992519141,20251215,1
19992519141,20251216,1
19992519141,20251217,1
19992519141,20251218,1
19992519141,20251219,1
19992519141,20251222,1
19992519141,20251223,1
19992519141,20251229,1
19992519141,20251230,1
19992519141,20251231,1
8662601811,20250915,1
8662601811,20250916,1
8662601811,20250917,1
8662601811,20250918,1
8662601811,20250919,1
8662601811,20250923,1
8662601811,20250924,1
8662601811,20250925,1
8662601811,20250926,1
8662601811,20250929,1
8662601811,20250930,1
8662601811,20251001,1
8662601811,20251002,1
8662601811,20251003,1
8662601811,20251006,1
8662601811,20251007,1
8662601811,20251008,1
8662601811,20251009,1
8662601811,20251010,1
8662601811,20251013,1
8662601811,20251014,1
8662601811,20251015,1
8662601811,20251016,1
8662601811,20251017,1
8662601811,20251020,1
8662601811,20251021,1
8662601811,20251022,1
8662601811,20251023,1
8662601811,20251024,1
8662601811,20251027,1
8662601811,20251028,1
8662601811,20251029,1
8662601811,20251030,1
8662601811,20251031,1
8662601811,20251103,1
8662601811,20251104,1
8662601811,20251105,1
8662601811,20251106,1
8662601811,20251107,1
8662601811,20251110,1
8662601811,20251111,1
8662601811,20251112,1
8662601811,20251113,1
8662601811,20251114,1
8662601811,20251117,1
8662601811,20251118,1
8662601811,20251119,1
8662601811,20251120,1
8662601811,20251121,1
8662601811,20251124,1
8662601811,20251125,1
8662601811,20251126,1
8662601811,20251127,1
8662601811,20251128,1
8662601811,20251201,1
8662601811,20251202,1
8662601811,20251203,1
8662601811,20251204,1
8662601811,20251205,1
8662601811,20251208,1
8662601811,20251209,1
8662601811,20251210,1
8662601811,20251211,1
8662601811,20251212,1
8662601811,20251215,1
8662601811,20251216,1
8662601811,20251217,1
8662601811,20251218,1
8662601811,20251219,1
8662601811,20251222,1
8662601811,20251223,1
8662601811,20251229,1
8662601811,20251230,1
8662601811,20251231,1
35206454211,20250915,1
35206454211,20250916,1
35206454211,20250917,1
35206454211,20250918,1
35206454211,20250919,1
35206454211,20250923,1
35206454211,20250924,1
35206454211,20250925,1
35206454211,20250926,1
35206454211,20250929,1
35206454211,20250930,1
35206454211,20251001,1
35206454211,20251002,1
35206454211,20251003,1
35206454211,20251006,1
35206454211,20251007,1
35206454211,20251008,1
35206454211,20251009,1
35206454211,20251010,1
35206454211,20251013,1
35206454211,20251014,1
35206454211,20251015,1
35206454211,20251016,1
35206454211,20251017,1
35206454211,20251020,1
35206454211,20251021,1
35206454211,20251022,1
35206454211,20251023,1
35206454211,20251024,1
35206454211,20251027,1
35206454211,20251028,1
35206454211,20251029,1
35206454211,20251030,1
35206454211,20251031,1
35206454211,20251103,1
35206454211,20251104,1
35206454211,20251105,1
35206454211,20251106,1
35206454211,20251107,1
35206454211,20251110,1
35206454211,20251111,1
35206454211,20251112,1
35206454211,20251113,1
35206454211,20251114,1
35206454211,20251117,1
35206454211,20251118,1
35206454211,20251119,1
35206454211,20251120,1
35206454211,20251121,1
35206454211,20251124,1
35206454211,20251125,1
35206454211,20251126,1
35206454211,20251127,1
35206454211,20251128,1
35206454211,20251201,1
35206454211,20251202,1
35206454211,20251203,1
35206454211,20251204,1
35206454211,20251205,1
35206454211,20251208,1
35206454211,20251209,1
35206454211,20251210,1
35206454211,20251211,1
35206454211,20251212,1
35206454211,20251215,1
35206454211,20251216,1
35206454211,20251217,1
35206454211,20251218,1
35206454211,20251219,1
35206454211,20251222,1
35206454211,20251223,1
35206454211,20251229,1
35206454211,20251230,1
35206454211,20251231,1
32132069341,20250917,1
32132069341,20250918,1
32132069341,20250919,1
32132069341,20250923,1
32132069341,20250924,1
32132069341,20250925,1
32132069341,20250926,1
32132069341,20250929,1
32132069341,20250930,1
32132069341,20251001,1
32132069341,20251002,1
32132069341,20251003,1
32132069341,20251006,1
32132069341,20251007,1
32132069341,20251008,1
32132069341,20251009,1
32132069341,20251010,1
32132069341,20251013,1
32132069341,20251014,1
32132069341,20251015,1
32132069341,20251016,1
32132069341,20251017,1
32132069341,20251020,1
32132069341,20251021,1
32132069341,20251022,1
32132069341,20251023,1
32132069341,20251024,1
32132069341,20251027,1
32132069341,20251028,1
32132069341,20251029,1
32132069341,20251030,1
32132069341,20251031,1
32132069341,20251103,1
32132069341,20251104,1
32132069341,20251105,1
32132069341,20251106,1
32132069341,20251107,1
32132069341,20251110,1
32132069341,20251111,1
32132069341,20251112,1
32132069341,20251113,1
32132069341,20251114,1
32132069341,20251117,1
32132069341,20251118,1
32132069341,20251119,1
32132069341,20251120,1
32132069341,20251121,1
32132069341,20251124,1
32132069341,20251125,1
32132069341,20251126,1
32132069341,20251127,1
32132069341,20251128,1
32132069341,20251201,1
32132069341,20251202,1
32132069341,20251203,1
32132069341,20251204,1
32132069341,20251205,1
32132069341,20251208,1
32132069341,20251209,1
32132069341,20251210,1
32132069341,20251211,1
32132069341,20251212,1
32132069341,20251215,1
32132069341,20251216,1
32132069341,20251217,1
32132069341,20251218,1
32132069341,20251219,1
32132069341,20251222,1
32132069341,20251223,1
32132069341,20251229,1
